기관명,공고명,공고시작일,공고마감일,접수시작일,접수마감일,접수방법,접수대행,일반전형,채용인원,채용방법,전형방법,임용시기,임용조건,담당부서,연락처
부산도시공사,2020년 부산도시공사 공무직 사원 모집공고,2020-06-12,2020-07-03,2020-06-26,2020-07-03,인터넷 접수,http://bmc.saramin.co.kr,공무직(비서),1,NCS기반 직무능력중심 채용,"1차 서류심사, 2차 필기시험, 3차 면접시험",데이터 없음,"본인 또는 부모 중 1인이 공고일 전일 현재 부산광역시에 주민등록이 되어 있는 자, 모집공고일(2020.06.12) 현재 만18세 이상 만60세 이하, 남자인 경우 병역필 또는 면제자(단, 필기시험일 이전 전역(소집해제) 예정인 경우), 워드프로세서와 컴퓨터 활용능력 중 하나 이상의 자격을 소지한 자 또는 해당분야 근무경력 1년 이상인 자",경영지원실,051-810-1243
부산도시공사,2020년 부산도시공사 공무직 사원 모집공고,2020-06-12,2020-07-03,2020-06-26,2020-07-03,인터넷 접수,http://bmc.saramin.co.kr,공무직(안내),1,NCS기반 직무능력중심 채용,"1차 서류심사, 2차 필기시험, 3차 면접시험",데이터 없음,"본인 또는 부모 중 1인이 공고일 전일 현재 부산광역시에 주민등록이 되어 있는 자, 모집공고일(2020.06.12) 현재 만18세 이상 만60세 이하, 남자인 경우 병역필 또는 면제자(단, 필기시험일 이전 전역(소집해제) 예정인 경우), 신체 건강한 자로서 해당분야 종사 가능한 자",경영지원실,051-810-1243
부산도시공사,2020년 부산도시공사 공무직 사원 모집공고,2020-06-12,2020-07-03,2020-06-26,2020-07-03,인터넷 접수,http://bmc.saramin.co.kr,공무직(운전),1,NCS기반 직무능력중심 채용,"1차 서류심사, 2차 필기시험, 3차 면접시험",데이터 없음,"본인 또는 부모 중 1인이 공고일 전일 현재 부산광역시에 주민등록이 되어 있는 자, 모집공고일(2020.06.12) 현재 만18세 이상 만60세 이하, 남자인 경우 병역필 또는 면제자(단, 필기시험일 이전 전역(소집해제) 예정인 경우), 1종 보통 이상 운전면허를 취득하고 운전경력 3년 이상인 자,  취업지원대상자 관련 법령에 따른 취업지원증명서 발급대상자",경영지원실,051-810-1243
부산도시공사,2020년 부산도시공사 신입사원 모집공고,2020-06-12,2020-07-03,2020-06-26,2020-07-03,인터넷 접수,http://bmc.saramin.co.kr,행정직,5,NCS기반 직무능력중심 채용,"1차 서류심사, 2차 필기시험, 3차 필기시험, 4차 면접시험, 5차 면접시험",데이터 없음,"본인 또는 부모 중 1인이 공고일 전일 현재 부산광역시에 주민등록이 되어 있는 자, 2018. 6. 12일 이후 국내에서 실시된 시험으로서, 원서 접수 마감일까지 점수가 발표된 시험 중 기준점수 이상인 시험성적(토익 700이상, 오픽 IM1이상, 토플 79이상)",경영지원실,051-810-1243
부산도시공사,2020년 부산도시공사 신입사원 모집공고,2020-06-12,2020-07-03,2020-06-26,2020-07-03,인터넷 접수,http://bmc.saramin.co.kr,건축직,5,NCS기반 직무능력중심 채용,"1차 서류심사, 2차 필기시험, 3차 필기시험, 4차 면접시험, 5차 면접시험",데이터 없음,"본인 또는 부모 중 1인이 공고일 전일 현재 부산광역시에 주민등록이 되어 있는 자, 모집공고일(2020.06.12) 현재 만18세 이상 만60세 이하, 남자인 경우 병역필 또는 면제자(단, 필기시험일 이전 전역(소집해제) 예정인 경우), 2018. 6. 12일 이후 국내에서 실시된 시험으로서, 원서 접수 마감일까지 점수가 발표된 시험 중 기준점수 이상인 시험성적(토익 700이상, 오픽 IM1이상, 토플 79이상), 기사(건축, 실내건축), 기술사(건축시공, 건축품질시험, 건축구조), 건축사 중 1개 이상 보유자",경영지원실,051-810-1243
부산도시공사,2020년 부산도시공사 신입사원 모집공고,2020-06-12,2020-07-03,2020-06-26,2020-07-03,인터넷 접수,http://bmc.saramin.co.kr,전기직,1,NCS기반 직무능력중심 채용,"1차 서류심사, 2차 필기시험, 3차 필기시험, 4차 면접시험, 5차 면접시험",데이터 없음,"본인 또는 부모 중 1인이 공고일 전일 현재 부산광역시에 주민등록이 되어 있는 자, 모집공고일(2020.06.12) 현재 만18세 이상 만60세 이하, 남자인 경우 병역필 또는 면제자(단, 필기시험일 이전 전역(소집해제) 예정인 경우), 2018. 6. 12일 이후 국내에서 실시된 시험으로서, 원서 접수 마감일까지 점수가 발표된 시험 중 기준점수 이상인 시험성적(토익 700이상, 오픽 IM1이상, 토플 79이상), 기사(전기, 전기공사), 기술사(건축전기설비, 발송배전, 전기응용) 중 1개 이상 보유자",경영지원실,051-810-1243
부산도시공사,2020년 부산도시공사 신입사원 모집공고,2020-06-12,2020-07-03,2020-06-26,2020-07-03,인터넷 접수,http://bmc.saramin.co.kr,통신직,1,NCS기반 직무능력중심 채용,"1차 서류심사, 2차 필기시험, 3차 필기시험, 4차 면접시험, 5차 면접시험",데이터 없음,"본인 또는 부모 중 1인이 공고일 전일 현재 부산광역시에 주민등록이 되어 있는 자, 모집공고일(2020.06.12) 현재 만18세 이상 만60세 이하, 남자인 경우 병역필 또는 면제자(단, 필기시험일 이전 전역(소집해제) 예정인 경우), 2018. 6. 12일 이후 국내에서 실시된 시험으로서, 원서 접수 마감일까지 점수가 발표된 시험 중 기준점수 이상인 시험성적(토익 700이상, 오픽 IM1이상, 토플 79이상), 기사(정보통신, 무선설비, 방송통신, 전파전자통신), 기술사(정보통신)중 1개 이상 보유자",경영지원실,051-810-1243
부산도시공사,2020년 부산도시공사 공무직사원 모집공고(관리사무소장),2020-12-01,2020-12-11,2020-12-02,2020-12-11,인터넷 접수,http://bmc.recruits.co.kr,공무직(관리사무소장),1,NCS기반 직무능력중심 채용,"1차 서류심사, 2차 필기시험, 3차 면접시험",데이터 없음,"본인 또는 부모 중 1인이 공고일 전일 현재 부산광역시에 주민등록이 되어 있는 자, 모집공고일(2020.12.01) 현재 만18세 이상 만60세 이하, 남자인 경우 병역필 또는 면제자(단, 필기시험일 이전 전역(소집해제) 예정인 경우, 주택관리사 자격증을 소지한자,  아파트 500세대 이상의 단지에서 3년 이상 관리사무소장으로 근무한 경력이 있는 자",경영지원실,051-810-1243
부산도시공사,2021년 부산도시공사 공무직 사원 모집공고,2021-01-07,2021-01-18,2021-01-08,2021-01-18,인터넷 접수,http://bmc.incruit.com,공무직(시설관리_전기),1,NCS기반 직무능력중심 채용,"1차 서류심사, 2차 필기시험, 3차 면접시험",데이터 없음,"본인 또는 부모 중 1인이 공고일 전일 현재 부산광역시에 주민등록이 되어 있는 자, 모집공고일(2021.01.07) 현재 만18세 이상 만60세 이하, 남자인 경우 병역필 또는 면제자(단, 필기시험일 이전 전역(소집해제) 예정인 경우, 전기 분야 기능사 이상 자격증을 보유한 자",경영지원실,051-810-1243
부산도시공사,2021년 부산도시공사 공무직 사원 모집공고,2021-01-07,2021-01-18,2021-01-08,2021-01-18,인터넷 접수,http://bmc.incruit.com,공무직(시설관리_통신),1,NCS기반 직무능력중심 채용,"1차 서류심사, 2차 필기시험, 3차 면접시험",데이터 없음,"본인 또는 부모 중 1인이 공고일 전일 현재 부산광역시에 주민등록이 되어 있는 자, 모집공고일(2021.01.07) 현재 만18세 이상 만60세 이하, 남자인 경우 병역필 또는 면제자(단, 필기시험일 이전 전역(소집해제) 예정인 경우, 통신 분야 기능사 이상 자격증을 보유한 자",경영지원실,051-810-1243
