번호,공고명,공고시작일,공고마감일,접수시작일,접수마감일,접수방법,접수대행,일반전형,채용인원,채용방법,전형방법,임용시기,임용조건,담당부서,연락처
1,부산관광공사 일반계약직 공개경쟁채용 공고,2020-04-14,2020-04-24,2020-04-14,2020-04-24,"우편접수, 인터넷 접수",직접,일반계약직,1,NCS기반 블라인드 채용,"1차 서류심사,  2차 면접시험, 3차 최종합격",2020-05-11,"  -성별, 학력, 전공, 지역에 대한 제한 없음,   -병역필 또는 면제자 및 해외여행에 결격사유가 없는자 ,  -현역의 경우에는 최종합격자 발표 전일까지 전역이 가능하여야 하며, 회사 등 재직 중인 자는 임용 시부터 재직이 가능하여야 함",경영지원팀,051-780-2134
2,부산시티투어 무기계약직 운전원 공개경쟁채용 공고,2020-04-23,2020-05-04,2020-04-23,2020-05-04,"우편접수, 인터넷 접수",직접,무기계약직,2,NCS기반 블라인드 채용,"1차 서류심사,  2차 면접시험,  3차 최종합격",2020-05-15,"  -성별, 학력, 전공, 지역에 대한 제한 없음,    -연령은 공사 정년 규정인 60세 미만인 자,    -병역필 또는 면제자 및 해외여행에 결격사유가 없는자 ,  -현역의 경우에는 최종합격자 발표 전일까지 전역이 가능하여야 하며, 회사 등 재직 중인 자는 임용 시부터 재직이 가능하여야 함",경영지원팀,051-780-2134
3,부산관광공사 일반계약직 채용 공고,2020-05-15,2020-05-26,2020-05-15,2020-05-26,"우편접수, 인터넷 접수",직접,일반계약직,2,NCS기반 블라인드 채용,"1차 서류심사,  2차 면접시험, 3차 최종합격",2020-06-08,"  -다음 외국어 자격요건 중 한 가지 이상 해당자,  (영어) 토익 800이상 또는 TOEFL 91이상 또는 TEPS 650이상,  (일어) JPT 800이상 또는 JLPT N1 이상 ,  (중어) HSK 5급이상",경영지원팀,051-780-2134
4,부산관광공사 일반(일용)계약직 공개경쟁채용 공고,2020-06-26,2020-07-06,2020-06-26,2020-07-06,"우편접수, 인터넷 접수",직접,"일반계약직3명, 일용계약직3명",6,NCS기반 블라인드 채용,"1차 서류심사,  2차 면접시험, 3차 최종합격",2020-07-15,"  -다음 외국어 자격요건 중 한 가지 이상 해당자,  (영어) 토익 800이상 또는 TOEFL 91이상 또는 TEPS 650이상,  (일어) JPT 800이상 또는 JLPT N1 이상 ,  (중어) HSK 5급이상",경영지원팀,051-780-2134
5,2020년 부산관광공사 NCS기반 블라인드 공개경쟁채용 공고,2020-06-29,2020-07-10,2020-06-29,2020-07-10,인터넷 접수,직접,"일반직 3명, 전문계약직1명",4,NCS기반 블라인드 채용,"1차 서류심사, 2차 필기시험,  3차 면접시험, 4차 최종합격",2020-08-24,"일반직 2급, ? 공무원 4급 이상 경력자, ? 정부 및 지방자치단체 투자기관 동일직급 이상 경력자, ? 기업체에서 20년 이상 재직 및 부장급 5년 이상 경력자, ? 위 각 호에 준하는 자격 또는 능력이 있다고 인정되는 자, 전문계약직 나급, ? 통계 또는 관광 관련 분야 박사학위 취득자, ? 통계 또는 관광 관련 분야 석사학위 취득 후 3년 이상 경력자, ? 통계 또는 관광 관련 분야 10년 이상 경력자, 일반직 7급, ? 다음 외국어 자격요건 중 한 가지 이상 해당자(필수사항),  (영어) 토익 800 또는 TOEFL 91 또는 TEPS 650 이상,  (일어) JPT 800 또는 JLPT N2 이상 , (중어) 新 HSK 5급이상, 공인외국어 성적은 응시접수 마감일 기준 유효기간이 2년 이내 성적만 인정",경영지원팀,051-780-2134
6,일반계약직(휴직대체) 채용 공고,2020-08-25,2020-09-04,2020-08-25,2020-09-04,"우편접수, 인터넷 접수",직접,일반계약직,2,NCS기반 블라인드 채용,"1차 서류심사,  2차 면접시험, 3차 최종합격",2020-09-21,"다음외국어 자격요건 중 한 가지 이상 해당자(필수사항),영어토익 800 또는 TOEFL 91 또는 TEPS 650 이상(일어) JPT 800 또는 JLPT N2 이상 (중어) 新 HSK 5급이상※ 공인외국어 성적은 응시접수 마감일 기준 유효기간이 2년 이내 성적만 인정",경영지원팀,051-780-2134
7,부산관광공사 아르피나 기간제근로자 직원 공개경쟁 채용 공고,2020-10-06,2020-10-16,2020-10-06,2020-10-16,"우편접수, 이메일접수, 방문접수",직접,일반계약직,1,NCS기반 블라인드 채용,"1차 서류심사,  2차 면접시험, 3차 최종합격",2020-10-22,"성별, 학력, 전공, 지역에 대한 제한 없음,병역필 또는 면제자 및 해외여행에 결격사유가 없는자 ,현역의 경우에는 최종합격자 발표 전일까지 전역이 가능하여야 하며, 회사 등 재직 중인 자는 임용 시부터 재직이 가능하여야 함",경영지원팀,051-780-2134
8,2021 하반기 부산관광공사 신입공채 공고,2021-09-29,2021-10-06,2021-09-29,2021-10-06,인터넷 접수,https://bto.or.kr/kor/CMS/Board/Board.do?mCode=MN049&page=17&mgr_seq=23&mode=view&mgr_seq=23&board_seq=1894,일반사무직,6,NCS기반 블라인드 채용,"1차 서류심사, 2차 필기시험,  3차 면접시험, 4차 최종합격",2021-12-13," 가. 일반 응시자격,    1) 연    령 : 「청년고용촉진특별법」제5조 제1항 및 동법시행령 제2조의 의거 공고일 기준 만 34세 이하인 청년, 2) 학    력 : 제한 없음, 3) 병    역 : 해외여행에 결격사유가 없는 자, 남자의 경우 병역필 또는 면제된 자, ※ 현역복무 중인 자는 단계별 전형절차(필기시험, 면접시험 등)에 응시가 가능하여야 하며, 최종합격자 발표일 전일까지 전역(소집해제)이 가능하여야 함., 4) 응시제한 : 우리공사 인사규정 제17조(결격사유)에 해당하는 자(공통) ,5) 근무조건 : 초과근로가 가능한 자, 6) 기타사항 : 각 시험 단계별 응시 및 교육훈련 참여가 가능한 자 나. 지역제한     □ 요  건 : 아래 ①번과 ②번의 요건 중 하나를 충족하여야 함    ① 공고일 이전부터 면접시험 최종일까지 계속하여 부산광역시에 주민등록상 거주하는 자로서 동 기간 중 주민등록의 말소 및 거주 불명으로 등록된 사실이 없어야 함    ② 공고일 이전까지 부산광역시에 주민등록상 주소지를 두고 있었던 기간을 모두 합산하여 총 3년 이상인 자 (영어) 토익 800 또는 TOEFL 91 또는 TEPS 650 이상 (일어) JPT 800 또는 JLPT N2 이상 (중어) 新 HSK 5급이상※ 공인외국어 성적은 응시접수 마감일 기준 유효기간이 2년 이내 성적만 인정",경영지원팀,051-780-2134
9,부산관광공사 임원 초빙 공고,2021-09-30,2021-10-15,2021-09-30,2021-10-15,"방문,등기우편 접수",직접,"임원(총2명), 사장 1명, 비상임이사 1명",2,공사 내규에 따름,"1차 서류심사,  2차 면접시험, 3차 최종합격",2022-01-08,"사장 : 관광 및 경영 분야에 대한 전문지식과 경험이 풍부한 자 최고경영자로서 조직화합과 경영성과를 이룰 수 있는 자, 확고한 개혁 의지와 조직관리 능력을 갖춘 자, 청렴성과 도덕성 등 건전한 윤리의식을 가진 자, 기업성과 공익성을 조화시킬 수 있는 자, 비상임이사: 공사 발전을 위한 경영 비전 및 정책적 제언을 제시할 수 있는 자, 최고 의사결정기구 구성원으로서 기본윤리, 책임감을 갖춘 자, 경영일반, 회계, 세무, 관광 산업 전반에 대한 지식과 경험을 보유한 자, 선거를 통해서 선출된 노동자이사 후보자",경영지원팀,051-780-2134
10,부산관광공사 일반계약직(육아휴직 대체) 공개경쟁채용 공고,2021-10-15,2021-10-25,2021-10-15,2021-10-25,인터넷 접수,직접,일반계약직,3,NCS기반 블라인드 채용,"1차 서류심사,  2차 면접시험, 3차 최종합격",2021-11-08,"성별, 학력, 전공, 지역에 대한 제한 없음, 병역필 또는 면제자 및 해외여행에 결격사유가 없는자  현역의 경우에는 최종합격자 발표 전일까지 전역이 가능하여야 하며, 회사 등 재직 중인 자는 임용 시부터 재직이 가능하여야 함, 다음 자격요건 중 한 가지 이상 해당자 (영어) 토익 800이상 또는 TOEFL 91이상 또는 TEPS 650이상, (일어) JPT 800이상 또는 JLPT N2 이상, (중어) HSK 5급이상, ※외국어 성적은 응시접수 마감일 기준 2년 이내 취득한 성적만 인정",경영지원팀,051-780-2134
11,부산관광공사 임원 초빙 공고,2022-01-28,2022-02-14,2022-01-28,2022-02-14,인터넷 접수,직접,비상임이사,3,공사 내규에 따름,서류심사 (공사 임원추천위원회 설치운영규정에 의하여 심사항목별 세부심사기준에 따라 평가),0,"공사 발전을 위한 경영 비전 및 정책적 제언을 제시할 수 있는 자,최고 의사결정기구 구성원으로서 기본윤리, 책임감을 갖춘 자, 경영일반, 회계, 세무, 관광 산업 전반에 대한 지식과 경험을 보유한 자, 선거를 통해서 선출된 노동자이사 후보자",경영지원팀,051-780-2134
