기관명,공고명,공고시작일,공고마감일,접수시작일,접수마감일,접수방법,접수대행,채용직렬(분야),채용인원,채용방법,전형방법,임용시기,임용조건,담당부서
부산교통공사,2020년 부산교통공사 신입사원 공개채용 공고,2020-01-17,2020-02-06,2020-01-31,2020-02-06,온라인 접수,https://humetro.saramin.co.kr,"운영직, 운전직, 토목직, 건축직, 기계직, 전기직, 신호직, 통신직",670,NCS기반 직무능력중심 채용,"1차 필기시험, 2차 인성검사, 3차 면접시험",2020-09(월중),부산·울산·경남 거주,경영지원처 인사혁신부
부산교통공사,부산교통공사 공무직 채용 공고,2020-11-16,2020-11-27,2020-11-23,2020-11-27,온라인 접수,자체,"공무직(차량중정비), 공무직(전기설비 유지보수)",11,NCS기반 직무능력중심 채용,"1차 서류전형, 2차 인성검사, 3차 면접시험",2021-01(월중),"부산·울산·경남 거주, 기능사 이상 자격증 소지자",경영지원처 인사혁신부
부산교통공사,2021년 부산교통공사 신입사원 공개채용 공고,2021-04-13,2021-05-03,2021-04-27,2021-05-03,온라인 접수,https://busan.saramin.co.kr,"운영직, 운전직, 토목직, 건축직, 기계직, 전기직, 신호직, 통신직",160,NCS기반 직무능력중심 채용,"1차 필기시험, 2차 인성검사, 3차 면접시험",2021-08(월중),부산·울산·경남 거주,경영지원처 인사혁신부
부산교통공사,2021년 부산교통공사 청년인턴 모집 공고,2021-09-10,2021-09-30,2021-09-24,2021-09-30,온라인 접수,자체,체험형 인턴(1·2기),60,NCS기반 직무능력중심 채용,"1차 서류전형, 2차 면접시험",2021-11(월중),"부산·울산·경남 거주, 만 34세 이하",경영지원처 인사혁신부
부산교통공사,2021년 하반기 부산교통공사 신입사원(운전직) 채용 공고,2021-09-16,2021-10-06,2021-09-29,2021-10-06,온라인 접수,https://busan.saramin.co.kr,운전직,41,NCS기반 직무능력중심 채용,"1차 필기시험, 2차 인성검사, 3차 면접시험",2021-12(월중),"부산·울산·경남 거주, 제2종 전기차량 운전면허 소지자",경영지원처 인사혁신부
부산교통공사,부산교통공사 공무직 채용 공고,2022-01-28,2022-02-11,2022-02-07,2022-02-11,온라인 접수,자체,"공무직(차량중정비), 공무직(승강장안전문 유지보수), 공무직(전기설비 유지보수)",8,NCS기반 직무능력중심 채용,"1차 필기시험, 2차 인성검사, 3차 면접시험",2022-04(월중),"부산·울산·경남 거주, 기능사 이상 자격증 소지자",경영지원처 인사혁신부
부산교통공사,2022년 부산교통공사 신입사원 공개채용 공고,2022-04-14,2022-05-04,2022-04-28,2022-05-04,온라인 접수,https://busan.saramin.co.kr,"운영직, 운전직, 토목직, 기계직, 전기직, 신호직",82,NCS기반 직무능력중심 채용,"1차 필기시험, 2차 인성검사, 3차 면접시험",2022-08(월중),부산·울산·경남 거주,경영지원처 인사혁신부
부산교통공사,2022년 부산교통공사 공무직 공개채용 공고,2022-04-14,2022-05-04,2022-04-28,2022-05-04,온라인 접수,https://busan.saramin.co.kr,"공무직(차량중정비), 공무직(승강장안전문 유지보수)",13,NCS기반 직무능력중심 채용,"1차 필기시험, 2차 인성검사, 3차 면접시험",2022-08(월중),"부산·울산·경남 거주, 기능사 이상 자격증 소지자",경영지원처 인사혁신부
부산교통공사,2022년 하반기 부산교통공사 신입사원 공개채용 공고,2022-09-07,2022-09-28,2022-09-21,2022-09-28,온라인 접수,https://busan.saramin.co.kr,"운영직, 운전직, 토목직, 전기직, 신호직",60,NCS기반 직무능력중심 채용,"1차 필기시험, 2차 인성검사, 3차 면접시험",2022-12(월중),부산·울산·경남 거주,경영지원처 인사혁신부
부산교통공사,2022년 하반기 부산교통공사 공무직 공개채용 공고,2022-09-07,2022-09-28,2022-09-21,2022-09-28,온라인 접수,https://busan.saramin.co.kr,"공무직(차량중정비), 공무직(승강장안전문 유지보수), 공무직(전기설비 유지보수)",4,NCS기반 직무능력중심 채용,"1차 필기시험, 2차 인성검사, 3차 면접시험",2023-01(월중),"부산·울산·경남 거주, 기능사 이상 자격증 소지자",경영지원처 인사혁신부
