연도,구분,전형,선발인원,지원인원,필기 합격선,경쟁률
2020,2020년 신입사원 공개채용(운영),일반,167,16800,74.7,100.6:1
2020,2020년 신입사원 공개채용(운영),장애인,25,258,73.12,10.3:1
2020,2020년 신입사원 공개채용(운영),2종면허,10,33,62,3.3:1
2020,2020년 신입사원 공개채용(운영_전산),일반,3,250,73.12,83.3:1
2020,2020년 신입사원 공개채용(운전),2종면허,170,1325,62,7.8:1
2020,2020년 신입사원 공개채용(토목),일반,47,924,81.29,19.7:1
2020,2020년 신입사원 공개채용(토목),장애인,3,4,70.17,1.3:1
2020,2020년 신입사원 공개채용(건축),일반,7,461,77,65.9:1
2020,2020년 신입사원 공개채용(기계),일반,45,3444,88,76.5:1
2020,2020년 신입사원 공개채용(기계),장애인,3,12,53,4.0:1
2020,2020년 신입사원 공개채용(전기),일반,93,3481,86.65,37.4:1
2020,2020년 신입사원 공개채용(전기),장애인,6,15,45,2.5:1
2020,2020년 신입사원 공개채용(신호),일반,38,693,84.75,18.2:1
2020,2020년 신입사원 공개채용(통신),일반,50,1058,75,21.2:1
2020,2020년 신입사원 공개채용(통신),장애인,3,9,42,3.0:1
2020,공무직 채용(차량중정비),일반,10,82,,8.2:1
2020,공무직 채용(전기설비 유지보수),일반,1,45,,45:1
2021,2021년 신입사원 공개채용(운영),일반,33,7344,81.02,222.5:1
2021,2021년 신입사원 공개채용(운영),장애인,10,145,65,14.5:1
2021,2021년 신입사원 공개채용(운영),기록물관리,1,32,71.31,32.0:1
2021,2021년 신입사원 공개채용(운전),2종면허,28,959,65.58,34.3:1
2021,2021년 신입사원 공개채용(토목),일반,12,609,81.41,50.8:1
2021,2021년 신입사원 공개채용(건축),일반,6,314,74.02,52.3:1
2021,2021년 신입사원 공개채용(기계),일반,13,1667,82,128.2:1
2021,2021년 신입사원 공개채용(기계),장애인,1,7,61.95,7.0:1
2021,2021년 신입사원 공개채용(전기),일반,27,1865,76.04,69.1:1
2021,2021년 신입사원 공개채용(전기),장애인,1,8,51,8.0:1
2021,2021년 신입사원 공개채용(전기),2종면허,4,48,61,12.0:1
2021,2021년 신입사원 공개채용(신호),일반,4,225,75,56.3:1
2021,2021년 신입사원 공개채용(통신),일반,19,530,75,27.9:1
2021,2021년 신입사원 공개채용(통신),장애인,1,1,0,1.0:1
2021,2021년 청년인턴 모집 공고,일반,60,694,,11.6:1
2021,2021년 하반기 신입사원(운전직) 채용,2종면허,41,950,63,23.2:1
2022,공무직 채용(차량중정비),일반,4,37,24.5,9.2:1
2022,공무직 채용(승강장안전문 유지보수),일반,2,28,27.5,14.0:1
2022,공무직 채용(전기설비 유지보수),일반,2,52,32.5,26.0:1
2022,2022년 신입사원 공개채용(운영_행정),일반,6,755,88.75,125.8:1
2022,2022년 신입사원 공개채용(운영_경영),일반,6,2174,93,362.3:1
2022,2022년 신입사원 공개채용(운영_경제),일반,2,364,84,182.0:1
2022,2022년 신입사원 공개채용(운영_법),일반,2,119,72.85,59.5:1
2022,2022년 신입사원 공개채용(운영_회계),일반,2,182,81,91.0:1
2022,2022년 신입사원 공개채용(운영_행정),장애인,3,57,63,19.0:1
2022,2022년 신입사원 공개채용(운전),2종면허,20,1012,71,50.6:1
2022,2022년 신입사원 공개채용(토목),일반,9,429,67,47.7:1
2022,2022년 신입사원 공개채용(기계),일반,8,889,84,111.1:1
2022,2022년 신입사원 공개채용(전기),일반,12,934,93,77.8:1
2022,2022년 신입사원 공개채용(전기),장애인,1,3,70,3.0:1
2022,2022년 신입사원 공개채용(신호),일반,10,433,91,43.3:1
2022,2022년 신입사원 공개채용(신호),장애인,1,1,63,1.0:1
2022,2022년 공무직 공개채용(차량중정비),일반,3,20,34.5,6.7:1
2022,2022년 공무직 공개채용(승강장안전문 유지보수),일반,10,46,33,4.6:1
2022,2022년 하반기 신입사원 공개채용(운영_행정),일반,7,676,87.12,96.6:1
