기관,원본_공고명,원본_전형,자동분류_직무,자동분류_전형,수동검수_정정
부산교통공사,공무직 채용(차량중정비),일반,공무직·기능,일반,
부산교통공사,공무직 채용(전기설비 유지보수),일반,공무직·기능,일반,공무직·기능
부산교통공사,공무직 채용(승강장안전문 유지보수),일반,공무직·기능,일반,
부산교통공사,2022년 공무직 공개채용(차량중정비),일반,공무직·기능,일반,
부산교통공사,2022년 공무직 공개채용(승강장안전문 유지보수),일반,공무직·기능,일반,
부산교통공사,2022년 하반기 공무직 공개채용(차량중정비),일반,공무직·기능,일반,
부산교통공사,2022년 하반기 공무직 공개채용(승강장안전문 유지보수),일반,공무직·기능,일반,
부산교통공사,2022년 하반기 공무직 채용(전기설비 유지보수),일반,공무직·기능,일반,공무직·기능
부산교통공사,2023년 공무직 공개채용(승강장안전문 유지보수),일반,공무직·기능,일반,
부산교통공사,2023년 하반기 공무직 공개채용(차량중정비),일반,공무직·기능,일반,
부산교통공사,2023년 하반기 공무직 공개채용(승강장안전문 유지보수),일반,공무직·기능,일반,
부산교통공사,2020년 신입사원 공개채용(기계),일반,기계,일반,
부산교통공사,2020년 신입사원 공개채용(기계),장애인,기계,사회배려,
부산교통공사,2021년 신입사원 공개채용(기계),일반,기계,일반,
부산교통공사,2021년 신입사원 공개채용(기계),장애인,기계,사회배려,
부산교통공사,2022년 신입사원 공개채용(기계),일반,기계,일반,
부산교통공사,2023년 신입사원 공개채용(기계),일반,기계,일반,
부산교통공사,2023년 신입사원 공개채용(기계),장애인,기계,사회배려,
부산교통공사,2024년 상반기 신입사원 공개채용(기계),일반,기계,일반,
부산교통공사,2024년 상반기 신입사원 공개채용(기계),장애인,기계,사회배려,
부산교통공사,2024년 상반기 신입사원 공개채용(기계),2종면허,기계,일반,
부산교통공사,2020년 신입사원 공개채용(운영),일반,사무·행정,일반,
부산교통공사,2020년 신입사원 공개채용(운영),장애인,사무·행정,사회배려,
부산교통공사,2020년 신입사원 공개채용(운영),2종면허,사무·행정,일반,
부산교통공사,2021년 신입사원 공개채용(운영),일반,사무·행정,일반,
부산교통공사,2021년 신입사원 공개채용(운영),장애인,사무·행정,사회배려,
부산교통공사,2021년 신입사원 공개채용(운영),기록물관리,사무·행정,일반,
부산교통공사,2022년 신입사원 공개채용(운영_행정),일반,사무·행정,일반,
부산교통공사,2022년 신입사원 공개채용(운영_경영),일반,사무·행정,일반,
부산교통공사,2022년 신입사원 공개채용(운영_경제),일반,사무·행정,일반,
부산교통공사,2022년 신입사원 공개채용(운영_법),일반,사무·행정,일반,
부산교통공사,2022년 신입사원 공개채용(운영_회계),일반,사무·행정,일반,
부산교통공사,2022년 신입사원 공개채용(운영_행정),장애인,사무·행정,사회배려,
부산교통공사,2022년 하반기 신입사원 공개채용(운영_행정),일반,사무·행정,일반,
부산교통공사,2022년 하반기 신입사원 공개채용(운영_경영),일반,사무·행정,일반,
